Regular Horns
#118: Vinny Perfectly Imitates Toad
#119: Ooooookay! - Dance Dance Revolution
#120: huHUhu - Pretty Cool Bananas
#121: oof - Roblox
#122: Fart with extra reverb
#123: DEAAUUGHHH
#124: Oh Man, I'm gonna have to-
#125: huUAAAAAAAAAAAAAAAAAAAAA - Pretty Cool Bananas
#126: Mahina Pea
#127: Mii Channel
#128: Logo - Playstation 2
#129: NOOT NOOT
#130: Doorbell Cam Cat
#131: Dog Frew Up
#132: S P E R M
#133: COCKY LITTLE FREAKS
#134: Low HP (B.J. Blaskowicz) - Quake Champions
#135: Jeff Bridges Yeah
#136: Tik Tok Huh
#137: FEET - Soldier 76
#138: RUN - Sinistar
#139: Op
#140: Yeeeessssss - Warhammer 40k TTS
#141: DisaPOINTED!! - Hercules
#142: SEGA! - Sonic 3D Blast
#143: Mahina PeaAUGH
#144: Fuck (Excuse me)
#145: Critikal Ascends
#146: SKULL TRUMPET
#147: Submit! - Ansem
#148: Plasma Bukkake
#149: St. Anger Snare - Metallica
#150: Psychicpebbles Scream
#151: Warning - Sonic Spinball
#152: *squeak*
#153: Mushroom Roller - Hollow Knight
#154: Mmm Monkey... - Kung Fu Panda
#155: Stylish! - Paper Mario: The Thousand-Year Door
#156: SUBALUWA
#157: The Giant Enemy Spider
#158: huuuAAAUUuuuh
#159: -breath- Hello Mario
#160: Gabe Bork
#161: IT GOES IT GOES IT GOES IT GOES
#162: GO TO BED - WWE
#163: Onii chan?
#164: Gaster Returns to the Void - Undertale
#165: OH NA-OW - Death Grips
#166: Thwomp - Super Mario 64
#167: Hello There - Obi Wan
#168: Special Trick - Tony Hawk's Pro Skater
#169: Death Grips - AOW AOW AOW AOW
#170: AuahhHahHahh - Will Smith
#171: Bogos Binted?
#172: You've Violated the Law
#173: Stupid Bitch - Ron
#174: Burger King Foot Lettuce - Chills
#175: Maybe - Vin Diesel
#176: For REAL!? - Ryuji
#177: I'm Gay - iDubbz
#178: WARIO LAUGHING
#179: Mario Says Fire
#180: Wii Menu
#181: Wilhelm Scream
#182: Luigi Says Thunder
#183: WOW - Super Smash Bros. Melee
#184: Wii Shop Channel
#185: The pinnacle of comedy
#186: ding - Windows XP
#187: Donald Duck Saying Sephiroth
#188: Millenium Falcon Lasers
#189: Death Grips - AAahahahaaa!!
#190: Shutdown - Windows XP
#191: YOOOOOOooooOOOOOOOOOO~
#192: NOOO - Halo Elite
#193: Farting on my Roommate's Door
#194: Daytona Doot
#195: Redead Noise - Zelda OoT
#196: Daytona Doo
#197: Do it Again - Rex-Kwo-do
#198: Where did you Learn to Fly?
#199: HERE I COME I AM CINNAMON - Apple Jacks
#200: Diabeetus - Wilfred Brimley
#201: WHAT! - Jontron
#202: Uh Oh! - ICQ
#203: Hitmarker - Call Of Duty: Modern Warfare 2
#204: AHHHH MY BONES! (Eggman}) - SnapCube
#205: Alley oop! (Reyn) - Xenoblade Chronicle
#206: Anotha one - DJ Khaled
#207: Burennyu~ - Melty Blood
#208: Critical Hit - Fire Emblem
#209: Groan Tube Down - Novelty Noise Maker
#210: Groan Tube Up - Novelty Noise Maker
#211: Learn to drive, dumbass! (Homer) - The Simpsons
#212: Incredibly Loud Incorrect Buzzer
#213: I miss my wife - Snapcube Sonic Fandub
#214: What the actual shit - Snapcube Sonic Fandub
#215: Down - Fortnite
#216: Hi, how are ya? - Spongebob
#217: FUCK YOU - Killer 7
#218: Fuck you - Parrapa the Rapper 2
#219: Jawa  - Star Wars
#220: FUCK! - Vine
#221: Meow, fuck out the way (Gary) - SpongeBob Parody
#222: Omnitrix Active - Ben 10
#223: Parry - ULTRAKILL
#224: CHICKEN STRIPS!
#225: The Impolite Sand Tempest
#226: That's right, we're gonna cheat! - AVGN
#227: What do I care? - Xavier Renegade Angel
#228: WHAT THE FUCK! - Jontron
#229: You stupid.
#230: Oh (F#)
#231: Oh (D)
#232: Oh (A B)
#233: Oh (G)
#234: Woe, dolphin be upon thee - Guilty Gear Strive
#235: Da fuck
#236: Who the FUCK are you? - Adam Smasher
#237: Bleh - Taiho Shichauzo (You're Under Arrest)
#238: Ah, eto - Taiho Shichauzo (You're Under Arrest)
#239: Age of Empires II - Unit Creation
#240: Stock anime sound - Bamboo tap
#241: FISH! - SEGA Bass Fishing
#242: Barney Burp - Simpsons
#243: You're stupid! - Kingdom Hearts
#244: Poop an egg - Banjo-Kazooie
#245: Bumper Cars! - Mercenaries 2
#246: Bad to the Bone Riff
#247: HI KEVIN (Spongebob) - Spongebob
#248: Scout Bonk
#249: Scout Boink
#250: Mr. Krabs Walking - Spongebob
#251: Butthole
#252: Calzone Dungeon - Vinesauce
#253: Fuck the police! - N.W.A
#254: Yeah! - Sonic the Hedgehog CD
#255: COCK ATTACK
#256: Dog Frew Up
#257: AYE - Dame tu Cosita
#258: Dude I could be gaming
#259: DICK LASERS
#260: DONKEY KONG
#261: Gonna punch you - Smiling Friends
#262: Dude I warned you - Smiling Friends
#263: Most obnoxious thing in my life - Smiling Friends
#264: How is that allowed - Smiling Friends
#265: Smormu cheers you up - Smiling Friends
#266: Dog1
#267: Door Cat Meow
#268: MY NAME IS EMU OTORI
#269: Fart Reverse Fart
#270: UP YOUR A- - Falco
#271: FIYAA - Super Smash Bros. Melee
#272: Frog NPC Aahh
#273: Frog NPC Bah
#274: LoZ The Faces of Evil -  Gannon - DIE
#275: Nice! - God Hand
#276: Draco Centauros - Puyo Puyo
#277: Gilbert Holy Fuck
#278: Autism
#279: Gaster Disappears Back Into the Void - Undertale
#280: Bro, Go to Jail - HeavenlyFather
#281: Gravemind Says Cum - Halo 3
#282: The Sound of Being Gnomed
#283: Grunty noise - Banjo-Kazooie
#284: Heyooo! - Steve, Borderlands 2
#285: DEUUEAUGH - Spongebob
#286: Tsugaru - RevenG vs. DE-SIRE
#287: You what!?
#288: Gaming. - Phil Spencer
#289: How.ogg (short)
#290: I need your help!
#291: LIFE IS PAIN, I HATE- - Jerma985
#292: Way to go knucklehead! - Sonic Adventure
#293: Throw it at him, not me! - Robbie Rotten
#294: What are you doing?! - Robbie Rotten
#295: Dr. Robotnik laugh - Dr. Robotnik's Mean Bean Machine
#296: Yeehaw! - Dr. Robotnik's Mean Bean Machine
#297: Yippie! - Dr. Robotnik's Mean Bean Machine
#298: Oof - Minecraft
#299: Hey! - Navi, Legend of Zelda
#300: Listen! - Navi, Legend of Zelda
#301: ABABA - Courage The Cowardly Dog
#302: That One Gunshot - Hollywood Edge Sound Library
#303: Sniper Rifle - Halo 1
#304: Wehrby - Halo Elite
#305: SWEET MERCIFUL CRAP! (Homer) - The Simpsons
#306: Haaax! - Half-Life 2
#307: Interact - Half-Life 2
#308: Button press - Half-Life 2
#309: My dumb ass when someone says the clearest sentence ever spoken
#310: Hit it! - Jet Set Radio
#311: WE WERE RIGHT THERE - Smiling Friends
#312: Jeremy - Smiling Friends
#313: King Ass Ripper Grunt
#314: King Ass Ripper HAAHH
#315: King Ass Rip 1
#316: Kiryu Chan
#317: koopas! - Chris Patt: Super Mario Bros Movie
#318: *metal mario stepping noise* - Super Smash Bros.
#319: Birb Weheheheh
#320: Frumper
#321: Honaldo
#322: Johnny Test Whip Crack
#323: Boo-Womp
#324: BEEEEeeee
#325: R2D2 Scream
#326: Dr. Wahwee - Mega Man 8
#327: WHAT AM I FIGHTING FOR - Mega Man X4
#328: BURN TO THE GROUND - Mega Man X7
#329: bruh - shoutout to Simpleflips
#330: Arceus Mmkay
#331: SHUT UP TAILS! (Sonic) - Sonic OVA
#332: Murdoch Cat
#333: Baby Noise - Mario Paint
#334: Pancake! - Fate/Grand Order 
#335: hambaga
#336: Force Shield - Sonic Robo Blast 2
#337: GAMERS
#338: Gangsta's Paradise - Coolio feat. L.V.
#339: EEnE the Horn
#340: GAO GAO
#341: ham~bur~ger~
#342: You do that again and I will bury you alive (Nick) -  Left 4 Dead 2
#343: Good thing I'm indestructible (Francis) - Left 4 Dead
#344: Intro - ReviewTechUSA
#345: Entering V.A.T.S. Mode - Fallout
#346: Nep - Hyperdimension Neptunia
#347: SPEEN - Vinesauce
#348: THAT IS BULLSHIT - Guilty Gear -Strive-
#349: The Concept of Love - Jet Set Radio Future
#350: WEH! - THE iDOLM@STER Cinderella Girls: Starlight Stage
#351: Skeletor Wat
#352: OH GREAT HEAVENS
#353: Seriously? (Mythra) - Super Smash Bros Ultimate
#354: You'll Get Burned (Pyra) - Super Smash Bros Ultimate
#355: Fuel Chute - 3D Pinball Space Cadet
#356: Refuel - 3D Pinball Space Cadet
#357: Lane Pass - 3D Pinball Space Cadet
#358: Crash Bonus - 3D Pinball Space Cadet
#359: Spot Target Hit - 3D Pinball Space Cadet
#360: Ball Ready - 3D Pinball Space Cadet
#361: Police Siren - The Simpsons Hit & Run
#362: Button 315 22 - The Simpsons Hit & Run
#363: Button 22 - The Simpsons Hit & Run
#364: Pause On - The Simpsons Hit & Run
#365: Pause Off - The Simpsons Hit & Run
#366: Short Horn - The Simpsons Hit & Run - The Simpsons Hit & Run
#367: I keep making God madder and madder (Homer) - The Simpsons Hit & Run
#368: i'm not a very good driver (Homer) - The Simpsons Hit & Run
#369: Out Of Control (Homer) - The Simpsons Hit & Run
#370: I have no insurance (Homer) - The Simpsons Hit & Run
#371: Please don't sue! (Homer) - The Simpsons Hit & Run
#372: That was so painful! (Homer) - The Simpsons Hit & Run
#373: That Hurt (Homer) - The Simpsons Hit & Run
#374: Don't worry that should heal fast (Homer) - The Simpsons Hit & Run
#375: You Were Close! - Pokemon Snap
#376: Outta my way jerkass! - Homer
#377: Dog - Legend of Zelda: Ocarina of Time
#378: Tim Allen Grunt
#379: Phoomph
#380: Ultra Instinct
#381: You know who else dies from axes to the chest?
#382: Warning -Sekiro
#383: Treasure Gauge - Pikmin 2
#384: PENIS BOLT
#385: Pootis
#386: The Perfect Vtuber Doesn't Exist 2
#387: The Perfect Vtuber Doesn't Exist 1
#388: Augh - Pufferfish eating carrot
#389: Sam o Nella FUCKING
#390: Soft and Meaningful Goose Honk
#391: Fuck! - Spy Tf2
#392: Soldier from TF2 transforms into a Shoe
#393: Half Snore
#394: Taco Bell Bong
#395: Target Break - Super Smash Bros.
#396: Oh, hai Mark - The Room
#397: Tuco Says Popcorners
#398: Age of Empires II unit death
#399: Veemo - Splatoon
#400: Woomy - Splatoon
#401: HOLY FISH PASTE! (Squidward) - Spongebob
#402: Gay, Luigi?

HELL HORNS
#403: PROWLER LIKES YA CUT G
#404: :pingsock:
#405: Spiderman NOOOOOOOooooo!!!
#406: Jerma perfectly imitates a cow
#407: MY PRECIOUS POWER RING GONE FOREVER
#408: GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOLD
#409: BARRACK OBAMAAAAAAAAAAAA
#410: Super Ultra Cum
#411: *angry tie fighter noises*
#412: win
#413: Donald Duck Having a Stroke
#414: airhorn: the sequel
#415: The Wario Engine
#416: Leather's Favorite Metal Impact Noise
#417: Scorpion being mad
#418: Vinny Does a Perfect Impression of a Goose
#419: YOU FACE JARAXXUS
#420: TIME TO TAKE A PISS
#421: Badlands SUCC
#422: M A C H I N E  G U N .
#423: sasoribi
#424: bisonyes.wav
#425: Sound of Drowning in Futa Cum
#426: Synthetic Super Fart
#427: Tasteful Godzilla Noise
#428: FUACK - Yanderedev
#429: Steam Achievement
#430: Backwards Burp
#431: DMC2 is Peak Cinema
#432: Fart Room Door, Ha
#433: Frog NPC Teleport
#434: Fart Death
#435: Did you know? - Mark's Pizzeria
#436: Not to be Racist or anything
#437: DOCTOR OCTAGONAPUS
#438: Homer NOOOOO
#439: King Ass Rip 2
#440: Mass Destruction - Persona 3
#441: LA Beast Screaming
#442: Michael Scott NOOOO
#443: Metal Pipe Falling Sound Effect
#444: MRRRRRRRRR BEAST
#445: We Did it Boys, We Stopped Racism
#446: BRRRRRRRRRRRRRRR
#447: THE BEST
#448: the whole-ass goddamn aol startup
#449: LA Beast Frew Up
#450: Work that sucker to death!
#451: They hit the pentagon!!! - Oney Plays
#452: IT'S ME AUSTIN
#453: Zubat's Cry - Pokemon
#454: SUCC
#455: YOU JUST GOT COCONUT MAULED
#456: SCP Alarm
#457: windows 10 disconnect noise
#458: Gentle Breeze - Trauma Center: Under the Knife 2
#459: Kirby fucking dies
#460: wii freeze noise
#461: a husky scream
#462: Batuta Din Moldova Start
#463: Welcome Back to the Stage of History - Soulcalibur
#464: Series Shower Burp 1
#465: A Thousand Miles - Vanessa Carlton
#466: Silly Trumpet - Worms: Armageddon
#467: AAAAAAAAAAAAAAAGGGGGGGHHHHHHHH - Sonic Unleashed
#468: This is bad! - Srb2 Kart
#469: Peter hurts his knee
#470: *snagret death* - Pikmin 2
#471: Pokemon Low Health Beep
#472: anxiety
#473: ha ha ha haaa - Mundial Ronaldinho Soccer 64
#474: YOUR ACTIONS HAVE CONSEQUENCES
#475: Drowning - Sonic the Hedgehog
#476: HAHA Ha, One!
