Character List/ID Reference

Alts and Dubs are at the bottom of this file.

Internal Name   	|  Display Name
-------------------------------
[2b         		] YorHa No.2 TypeB
[lucoa    			] Lucoa
[luffy   			] Luffy
[luigi    			] Luigi
[magikarp   		] Magikarp
[majima  			] Majima
[majora    			] Majora
[marie_ss  			] Marie
[marill       		] Marill
[marinaliteyears	] Marina Liteyears
[marioeluigi_re 	] Mario & Luigi
[mashu      		] Mash Kyrielight
[masterchief		] Master Chief
[mecha          	] Mecha Sonic
[megamancero    	] Mega Man Zero
[megamanexe     	] MegaMan.exe
[megamanx       	] X
[meggman        	] Modern Eggman
[metaknight   		] Meta Knight
[metalmario     	] Metal Mario
[metalslug  		] Metal Slug
[metalsonic     	] Metal Sonic
[mewtwo         	] Mewtwo
[miku    			] Hatsune Miku
[mkdsrob			] R. O. B.
[mmmrat    			] Movie Maker Rat
[monokuma       	] Monokuma
[morgana    		] Morgana
[morshu     		] Morshu
[mothman   			] Mothman
[mythra 			] Mythra
[necoarc     		] Neco Arc
[neo       			] Neopolitan
[nia    			] Nia
[nights				] NiGHTS
[noid    	    	] Noid
[noise          	] TheNoise
[omega 				] E-123 Omega
[palutena 			] Palutena
[papermario     	] Paper Mario
[pauline   			] Pauline
[peach     			] Peach
[peppino        	] Peppino
[peter      		] Peter Griffin
[picc           	] Piccolo
[pim&charlie		] Pim & Charlie
[porkyminch   		] Porky Minch
[puttputt    		] Putt-Putt
[pyra   			] Pyra
[queen_dr    		] QUEEN
[rabbid         	] Rabbid
[rainbowdash        ] Rainbow Dash
[ramiel       		] Ramiel
[reankart   		] Rean Schwarzer
[retro_pikachu		] Retro Pikachu
[ridley   			] Ridley
[ristar        		] Ristar
[rivet          	] Rivet
[rixia         		] Rixia
[robit        		] Robit
[robosonic     		] Robo-Sonic
[rosalina   		] Rosalina
[rouge 				] Rouge
[rubyrose   		] Ruby Rose
[running_sonic		] Sonic (Feet)
[ryougishiki		] Ryougi Shiki
[ryuko    			] Ryuko
[saber      		] Saber
[sally         		] Sally Acorn
[samus    			] Samus Aran
[sans        		] Sans
[satam_robotnik		] SatAM Robotnik
[satsuki  			] Satsuki
[scratch       		] Scratch
[sega_bass   		] Sega Bass Fishin
[shadow				] Shadow
[shantae     		] Shantae
[shiver      		] Shiver
[shovel_knight		] Shovel Knight
[shrek        		] Shrek
[silver				] Silver
[silver_sonic   	] Silver Sonic
[slds       		] Solid Snake
[slycooper   		] Sly Cooper
[smw-yoshi  		] SMW Yoshi
[solaire     		] Solaire
[sonic         		] Sonic
[space_marine		] Space Marine
[spamton     		] Spamton
[spongebob			] SpongeBob
[squidward			] Squidward
[ssma          		] DiC Mario
[starline      		] Dr. Starline
[stink        		] Stink
[surgeidw			] Surge
[susiehaltmann		] Susie Haltmann
[sybil 	        	] Sybil
[swatbot       		] Swat-Bot
[sweetjp    		] Sweet JP
[t-54         		] T-54
[tails         		] Tails
[tangle        		] Tangle
[team_rocket  		] Team Rocket
[terry      		] Terry
[theflea      		] The Flea
[tiefighter 		] TIE/In
[tifa   			] Tifa Lockhart
[tiptup   			] Tiptup
[tobeymaguire 		] The Human Spider
[toon_link    		] Toon Link
[ttmario       		] TeachesTypingMar
[turret        		] Turret
[ulala 				] Ulala
[v1           		] V1
[vanilla 			] Vanilla
[vanellope 			] Vanellope
[vegeta         	] Vegeta
[vigilante      	] The Vigilante
[vinny     			] Vinny Vinesauce
[vyse    			] Vyse
[wallacewng   		] Wallace
[waluigibike		] Waluigi
[wario      		] Biker Wario
[wheeliemotobug		] Wheelie Motobug
[whisper 			] Whisper
[yahoo         		] BLJ
[yiik         		] Alex Eggleston
[yu     			] Yu
[zero          		] Zero (X4)


Alternate Appearance Reference

Type "appear" "[internal name]" "[appear name]" to change. 
"Appear" "default" to reset.
 
Internal Name		| Appear Name
----------------------------------

[aerith				] "PS1"
[aigis				] "Toaster"
[agent3				] "Agent8"
[amy				] "ClassicAmy", "MotorAmy", "Rusty"
[arle				] "JayElle"
[baba				] "babafeet"
[blaze				] "Percival"
[bob				] "Scoot"
[bowser				] "DIC"
[bulborb			] "wraith"
[chaos				] "tikal"
[crash_b			] "Coco"
[cosmo				] "Maria"
[darkmatter			] "Ball"
[gamma				] "EggRobo", "Car"
[gordon_freeman		] "JohnFreeman"
[gum				] "Beat"
[heavy				] "Medic", "Soldier", "Demoman", "Scout"
[hornet				] "Real"
[infinite			] "Mephiles"
[kirby				] "Carby", "Robobot"
[luigi				] "RedLuigi"
[magikarp			] "Wailord"
[mecha				] "Metallix"
[megamanexe			] "Protoman"
[megamanx			] "Axl"
[metaknight			] "Dark", "Galacta"
[metalsonic			] "FormulaMetal", "Metalknux"
[miku				] "BetaMiku", "Teto"
[neo				] "Chell", "Echo"
[pim&charlie		] "Gwimbly"
[puttputt			] "Lightning"
[pyra				] "Bike"
[rouge				] "AgentRouge"
[sally				] "SatAM"
[sans				] "Papyrus"
[shadow				] "Lancelot"
[shantae			] "Rottytops"
[sonic				] "SonicRacing", "exe"
[tails				] "Jamie"
[toon_link			] "Linebeck"
[vinny				] "Joel"
[wario				] "LivingWithWario"


Character Dub Reference

Type "dub" "[internal name]" "[dub name]" to change. 
"dub" "default" to reset.

Internal Name		| Dub Name(s)
------------------------------------

[agent3				] "Agent8"
[amy				] "Rusty"
[arle				] "JayElle"
[bowser				] "DIC"
[bulborb			] "wraith"
[crash_b			] "Coco"
[chainchomp			] "BulletBill"
[chaos				] "tikal"
[gordon_freeman		] "JohnFreeman"
[gum				] "Beat"
[heavy				] "Medic", "Soldier", "Demoman", "Scout"
[infinite			] "Mephiles"
[luigi				] "RedLuigi"
[magikarp			] "Wailord"
[majora				] "Grey"
[megamanexe			] "Protoman"
[megamanx			] "Axl"
[meggman			] "adventure"
[metalsonic		 	] "metalknux"
[miku		 		] "teto"
[neo				] "Echo"
[pim&charlie		] "Gwimbly"
[puttputt			] "Lightning"
[robit				] "Aero", "Scoria"
[rouge				] "heroes", "racing"
[sans				] "Papyrus"
[shadow				] "damn"
[shantae			] "Rottytops"
[sonic				] "heroes", "unleashed", "adventure", "exe"
[tails				] "Jamie"
[toon_link			] "Linebeck"
[vinny				] "swedish"
[wario				] "lookguyslook"
